title,location,city,price_total_inr,price_per_sqft,area_sqft,bedrooms,bathrooms,link
,Arcadia Greens,Jaipur,6600000.0,4400.0,1300.0,,,
,Auric The Century Park,Jaipur,8500000.0,,1725.0,,,
,Ashadeep Rudraksha,Jaipur,4100000.0,3565.0,1150.0,,,
,FS The Coronation,Jaipur,8600000.0,4802.0,1791.0,,,
,Shree Krishnam Royal Treasure,Jaipur,8000000.0,6178.0,890.0,,,
,Atal Club View,Lucknow,8000000.0,3810.0,1840.0,,,
,Swapnil City,Lucknow,4200000.0,2800.0,1100.0,,,
,UPAVP Alaknanda Enclave,Lucknow,13000000.0,8125.0,1400.0,,,
,Godawari Agrasen Heights,Lucknow,11000000.0,8730.0,1090.0,,,
,Aakansha Life and Joy,Lucknow,7200000.0,6000.0,880.0,,,
,Swapnil City,Lucknow,6000000.0,4286.0,1100.0,,,
,Gold Line Residency,Lucknow,4200000.0,3652.0,1150.0,,,
,Ratan Galaxy,Lucknow,7400000.0,6491.0,1140.0,,,
,Rudra Greens,Kanpur,4500000.0,2839.0,1585.0,,,
,Ratan Orbit,Kanpur,8900000.0,6652.0,1000.0,,,
,Kakadev,Kanpur,12500000.0,10417.0,900.0,,,
,Manish Nagar,Nagpur,9000000.0,5143.0,1350.0,,,
,New Amar Nagar,Nagpur,3500000.0,3500.0,720.0,,,
,Om Shivam Shiv Kailasa,Nagpur,6300000.0,4490.0,1403.0,,,
,Om Shivam Shiv Kailasa,Nagpur,6300000.0,4490.0,1403.0,,,
,Shilpa Housing Society II,Nagpur,5000000.0,,650.0,,,
,Om Shivam Shiv Kailasa,Nagpur,5690000.0,4500.0,1264.0,,,
,Karamchand Dream Aawas,Nagpur,3800000.0,6179.0,1045.0,,,
,Galaxy City Imperia,Nagpur,3000000.0,2882.0,1041.0,,,
,Atharva Nagari 6,Nagpur,4470000.0,4091.0,750.0,,,
,Gudadhe Orbital Empire,Nagpur,6500000.0,5417.0,1100.0,,,
,Blackrock Central Annex,Nagpur,4850000.0,4199.0,1155.0,,,
,Pioneer Regency,Nagpur,5250000.0,5526.0,872.0,,,
,Aarone Countywalk,Indore,10000000.0,6250.0,1450.0,,,
,IBD Belmont Park,Indore,7600000.0,4457.0,1705.0,,,
,Om Gurudev Complex,Indore,9500000.0,,1611.0,,,
,Vastu Developers Siddhanta Niketan,Indore,5500000.0,3968.0,1386.0,,,
,Mirchandani Shalimar Swayam,Indore,4500000.0,4569.0,720.0,,,
,Silver Springs,Indore,8500000.0,5667.0,1500.0,,,
,Vaibhav Nagar,Indore,3000000.0,3717.0,807.0,,,
,Palash Parishar,Indore,3200000.0,4000.0,800.0,,,
,Rustomjee Azziano,Thane,22500000.0,15517.0,990.0,,,
,Dosti Imperia,Thane,18000000.0,14754.0,734.0,,,
,Gajra Bhoomi Castle,Thane,6720000.0,7000.0,665.0,,,
,Hiranandani Bloomingdale,Thane,30500000.0,18944.0,1375.0,,,
,Hiranandani Lake Enclave,Thane,45000000.0,30000.0,1200.0,,,
,Lodha Casa Rio Gold,Thane,3800000.0,4910.0,584.0,,,
,Yashwant Niwas,Thane,18400000.0,24533.0,625.0,,,
,Tata Serein,Thane,22500000.0,19565.0,835.0,,,
,bell blue hiranandani estate,Thane,17500000.0,20588.0,650.0,,,
,Rustomjee Azziano,Thane,15500000.0,16940.0,720.0,,,
,Puraniks Hometown,Thane,14000000.0,13659.0,950.0,,,
,Nirupam Royal Palms,Bhopal,3300000.0,2683.0,1230.0,,,
,Janki Apartment,Bhopal,4500000.0,3396.0,1100.0,,,
,Chinarr Dream CT,Bhopal,3400000.0,2429.0,1400.0,,,
